instant,atemp,casual,cnt,dteday,holiday,hr,hum,mnth,registered,season,temp,weathersit,weekday,windspeed,workingday,yr
15732,0.6212,80,524,2012-10-22,0,16,0.33,10,444,4,0.62,1,1,0.1642,1,1
4120,0.6515,140,371,2011-06-25,0,13,0.4,6,231,3,0.74,1,6,0.2836,0,0
14799,0.6061,80,674,2012-09-13,0,19,0.65,9,594,3,0.64,1,4,0.1343,1,1
14627,0.697,42,270,2012-09-06,0,15,0.66,9,228,3,0.74,1,4,0.194,1,1
15822,0.5152,41,197,2012-10-26,0,10,0.88,10,156,4,0.54,2,5,0.1045,1,1
5801,0.5758,20,43,2011-09-04,0,3,0.89,9,23,3,0.64,1,0,0.194,0,0
9979,0.2121,12,149,2012-02-25,0,19,0.33,2,137,1,0.26,1,6,0.4478,0,1
7540,0.4848,27,441,2011-11-15,0,18,0.72,11,414,4,0.5,2,2,0.2836,1,0
15980,0.3182,74,394,2012-11-03,0,12,0.46,11,320,4,0.36,2,6,0.4627,0,1
3733,0.8182,20,94,2011-06-09,0,10,0.5,6,74,2,0.86,1,4,0.2836,1,0
1765,0.5,0,2,2011-03-19,0,5,0.34,3,2,1,0.52,1,6,0.4179,0,0
7789,0.3333,8,17,2011-11-26,0,3,0.81,11,9,4,0.3,1,6,0,0,0
9527,0.3182,11,154,2012-02-06,0,21,0.57,2,143,1,0.32,1,1,0.1642,1,1
4822,0.803,70,240,2011-07-24,0,19,0.47,7,170,3,0.86,1,0,0.1642,0,0
14112,0.5909,2,5,2012-08-16,0,4,0.73,8,3,3,0.62,1,4,0.2239,1,1
10889,0.5303,54,379,2012-04-03,0,20,0.24,4,325,2,0.56,1,2,0.1343,1,1
13952,0.7576,85,277,2012-08-09,0,12,0.44,8,192,3,0.84,1,4,0.1045,1,1
4650,0.7424,129,324,2011-07-17,0,15,0.43,7,195,3,0.82,1,0,0.2985,0,0
1580,0.2576,10,114,2011-03-11,0,7,0.7,3,104,1,0.26,1,5,0.194,1,0
10756,0.4545,3,117,2012-03-29,0,6,0.59,3,114,2,0.46,1,4,0.2537,1,1
7018,0.4394,4,30,2011-10-25,0,0,0.77,10,26,4,0.44,1,2,0.1343,1,0
7181,0.4091,12,238,2011-10-31,0,19,0.66,10,226,4,0.4,1,1,0.0896,1,0
7539,0.4848,29,451,2011-11-15,0,17,0.72,11,422,4,0.5,2,2,0.194,1,0
15534,0.5152,150,428,2012-10-14,0,10,0.56,10,278,4,0.54,1,0,0.194,0,1
2062,0.303,12,177,2011-03-31,0,18,0.87,3,165,2,0.3,2,4,0.1343,1,0
4701,0.803,80,530,2011-07-19,0,18,0.66,7,450,3,0.8,1,2,0.1343,1,0
1199,0.1515,3,21,2011-02-22,0,23,0.43,2,18,1,0.16,1,2,0.2537,1,0
11773,0.6212,84,732,2012-05-10,0,17,0.31,5,648,2,0.6,1,4,0.3881,1,1
15422,0.4848,26,784,2012-10-09,0,18,0.72,10,758,4,0.5,2,2,0.2239,1,1
3939,0.5606,21,104,2011-06-18,0,0,0.88,6,83,2,0.62,1,6,0.1343,0,0
23,0.4091,11,28,2011-01-01,0,22,0.94,1,17,1,0.4,2,6,0.2239,0,0
11600,0.5303,64,301,2012-05-03,0,12,0.73,5,237,2,0.56,1,4,0.1343,1,1
13535,0.5909,0,2,2012-07-23,0,3,0.94,7,2,3,0.66,2,1,0.0896,1,1
7099,0.303,19,229,2011-10-28,0,9,0.57,10,210,4,0.32,1,5,0.2239,1,0
5900,0.5455,7,195,2011-09-08,0,8,0.94,9,188,3,0.62,3,4,0.1343,1,0
114,0.197,1,42,2011-01-05,0,22,0.55,1,41,1,0.18,1,3,0.1343,1,0
10826,0.3485,3,12,2012-04-01,0,4,0.81,4,9,2,0.34,2,0,0.0896,0,1
1548,0.3182,4,91,2011-03-09,0,20,0.87,3,87,1,0.32,2,3,0.194,1,0
16567,0.2424,1,23,2012-11-28,0,0,0.75,11,22,4,0.26,2,3,0.2537,1,1
9589,0.2273,4,99,2012-02-09,0,11,0.52,2,95,1,0.24,1,4,0.2239,1,1
15385,0.3182,2,19,2012-10-08,1,5,0.76,10,17,4,0.34,1,1,0.2239,0,1
15056,0.5303,77,342,2012-09-24,0,12,0.35,9,265,4,0.56,1,1,0.2985,1,1
14065,0.6364,1,36,2012-08-14,0,5,0.89,8,35,3,0.68,2,2,0.194,1,1
6390,0.6061,57,372,2011-09-28,0,19,0.83,9,315,4,0.66,3,3,0.2537,1,0
3246,0.4394,1,5,2011-05-20,0,3,1,5,4,2,0.44,1,5,0,1,0
16299,0.3333,20,227,2012-11-16,0,20,0.46,11,207,4,0.36,1,5,0.2537,1,1
2744,0.4545,0,25,2011-04-29,0,5,0.47,4,25,2,0.46,1,5,0.1343,1,0
10383,0.6364,62,676,2012-03-13,0,17,0.37,3,614,1,0.7,1,2,0.1045,1,1
13608,0.6212,0,4,2012-07-26,0,4,0.74,7,4,3,0.66,1,4,0.194,1,1
12687,0.6212,146,390,2012-06-17,0,19,0.53,6,244,2,0.64,1,0,0.1642,0,1
5679,0.5303,6,13,2011-08-30,0,1,0.68,8,7,3,0.56,1,2,0.1045,1,0
5582,0.6667,39,151,2011-08-25,0,11,0.79,8,112,3,0.7,3,4,0,1,0
660,0.2576,9,55,2011-01-30,0,19,0.65,1,46,1,0.26,1,0,0.194,0,0
4975,0.6818,6,13,2011-07-31,0,4,0.7,7,7,3,0.72,1,0,0,0,0
7340,0.3485,28,123,2011-11-07,0,10,0.93,11,95,4,0.36,1,1,0.1343,1,0
6729,0.5152,3,43,2011-10-12,0,22,0.94,10,40,4,0.54,3,3,0.0896,1,0
893,0.197,7,79,2011-02-09,0,16,0.37,2,72,1,0.2,2,3,0.2537,1,0
9339,0.2879,0,10,2012-01-30,0,0,0.26,1,10,1,0.32,2,1,0.4179,1,1
4004,0.6515,81,565,2011-06-20,0,17,0.54,6,484,2,0.7,1,1,0,1,0
12894,0.6212,37,190,2012-06-26,0,10,0.41,6,153,3,0.62,1,2,0.3582,1,1
11385,0.4848,35,224,2012-04-24,0,13,0.29,4,189,2,0.5,1,2,0.3881,1,1
6981,0.4545,131,333,2011-10-23,0,11,0.72,10,202,4,0.46,1,0,0.1642,0,0
3254,0.5455,63,196,2011-05-20,0,11,0.6,5,133,2,0.58,2,5,0.194,1,0
8992,0.1667,42,234,2012-01-15,0,12,0.4,1,192,1,0.18,1,0,0.2985,0,1
4877,0.697,1,6,2011-07-27,0,2,0.52,7,5,3,0.76,1,3,0.2985,1,0
15256,0.5455,20,306,2012-10-02,0,20,0.94,10,286,4,0.62,3,2,0.1343,1,1
11062,0.3182,3,12,2012-04-11,0,1,0.39,4,9,2,0.34,1,3,0.2836,1,1
17168,0.2121,1,18,2012-12-23,0,2,0.51,12,17,1,0.2,1,0,0.1642,0,1
7071,0.4697,1,15,2011-10-27,0,5,0.88,10,14,4,0.48,3,4,0.0896,1,0
10437,0.4697,12,97,2012-03-15,0,23,0.72,3,85,1,0.48,1,4,0.194,1,1
15818,0.5,2,144,2012-10-26,0,6,0.88,10,142,4,0.52,2,5,0.0896,1,1
15144,0.5303,2,12,2012-09-28,0,4,0.88,9,10,4,0.56,3,5,0.1045,1,1
8969,0.2121,38,220,2012-01-14,0,13,0.44,1,182,1,0.22,1,6,0.2836,0,1
8951,0.2424,7,206,2012-01-13,0,19,0.38,1,199,1,0.26,1,5,0.2836,1,1
7534,0.5152,28,176,2011-11-15,0,12,0.68,11,148,4,0.54,2,2,0,1,0
17012,0.3939,50,310,2012-12-16,0,14,0.76,12,260,4,0.38,2,0,0.1343,0,1
1193,0.2121,8,196,2011-02-22,0,17,0.51,2,188,1,0.22,1,2,0.2239,1,0
11894,0.6515,68,733,2012-05-15,0,18,0.61,5,665,2,0.7,1,2,0.0896,1,1
53,0.1364,1,64,2011-01-03,0,7,0.5,1,63,1,0.14,1,1,0.194,1,0
7937,0.2879,13,445,2011-12-02,0,8,0.87,12,432,4,0.24,1,5,0,1,0
987,0.4091,17,95,2011-02-13,0,18,0.32,2,78,1,0.4,1,0,0.2985,0,0
11445,0.4848,3,35,2012-04-27,0,1,0.59,4,32,2,0.5,1,5,0.4478,1,1
3305,0.6061,125,316,2011-05-22,0,14,0.69,5,191,2,0.62,3,0,0.194,0,0
2747,0.5152,35,421,2011-04-29,0,8,0.39,4,386,2,0.54,1,5,0.2985,1,0
8401,0.4394,6,101,2011-12-21,0,16,1,12,95,1,0.44,3,3,0.3284,1,0
10324,0.2424,2,10,2012-03-11,0,6,0.7,3,8,1,0.24,1,0,0.1642,0,1
9521,0.4242,25,171,2012-02-06,0,15,0.32,2,146,1,0.42,1,1,0.2836,1,1
12120,0.5606,3,9,2012-05-25,0,4,0.88,5,6,2,0.62,2,5,0,1,1
12234,0.5606,2,55,2012-05-29,0,22,0.88,5,53,2,0.62,2,2,0.0896,1,1
17209,0.2424,6,23,2012-12-24,0,20,0.93,12,17,1,0.24,3,1,0.1343,1,1
8946,0.2121,10,129,2012-01-13,0,14,0.33,1,119,1,0.26,1,5,0.5522,1,1
13863,0.6667,46,185,2012-08-05,0,19,0.84,8,139,3,0.7,1,0,0.2239,0,1
10322,0.2424,7,22,2012-03-11,0,4,0.6,3,15,1,0.24,1,0,0.1343,0,1
1940,0.3182,93,216,2011-03-26,0,14,0.29,3,123,2,0.34,1,6,0.2239,0,0
3655,0.5303,4,8,2011-06-06,0,4,0.94,6,4,2,0.56,1,1,0.1045,1,0
3075,0.5,6,52,2011-05-13,0,0,0.83,5,46,2,0.52,2,5,0.1642,1,0
878,0.0758,0,17,2011-02-09,0,0,0.36,2,17,1,0.1,1,3,0.3582,1,0
8733,0.1667,8,131,2012-01-04,0,16,0.4,1,123,1,0.18,2,3,0.2836,1,1
10137,0.4091,31,168,2012-03-03,0,10,0.87,3,137,1,0.4,2,6,0,0,1
7916,0.3182,7,102,2011-12-01,0,11,0.49,12,95,4,0.34,1,4,0.2537,1,0
12139,0.6061,34,166,2012-05-25,0,23,0.78,5,132,2,0.66,1,5,0.2239,1,1
110,0.2424,3,169,2011-01-05,0,18,0.38,1,166,1,0.24,1,3,0.1343,1,0
12050,0.5303,8,137,2012-05-22,0,6,0.88,5,129,2,0.56,3,2,0.1045,1,1
8605,0.2576,3,95,2011-12-30,0,7,0.75,12,92,1,0.24,1,5,0.0896,1,0
7450,0.2424,12,64,2011-11-12,0,0,0.6,11,52,4,0.24,1,6,0.1343,0,0
13934,0.7273,117,862,2012-08-08,0,18,0.55,8,745,3,0.78,2,3,0.1642,1,1
15264,0.5,2,11,2012-10-03,0,4,1,10,9,4,0.6,2,3,0,1,1
15337,0.5152,2,10,2012-10-06,0,5,0.83,10,8,4,0.54,1,6,0.194,0,1
91,0.2576,1,35,2011-01-04,0,22,0.64,1,34,1,0.22,1,2,0.0896,1,0
7795,0.3485,16,83,2011-11-26,0,9,0.76,11,67,4,0.34,1,6,0.0896,0,0
6979,0.4091,48,143,2011-10-23,0,9,0.76,10,95,4,0.4,1,0,0,0,0
9691,0.3485,8,407,2012-02-13,0,17,0.23,2,399,1,0.36,1,1,0.194,1,1
128,0.2727,12,67,2011-01-06,0,13,0.35,1,55,1,0.26,1,4,0.1045,1,0
5557,0.6515,51,146,2011-08-24,0,10,0.58,8,95,3,0.7,1,3,0.2836,1,0
10096,0.5303,49,600,2012-03-01,0,17,0.35,3,551,1,0.56,1,4,0.2985,1,1
15631,0.5303,79,268,2012-10-18,0,11,0.56,10,189,4,0.56,2,4,0.2239,1,1
7075,0.4848,16,171,2011-10-27,0,9,0.82,10,155,4,0.5,2,4,0.1642,1,0
15602,0.3939,7,178,2012-10-17,0,6,0.82,10,171,4,0.38,1,3,0,1,1
15867,0.4848,17,65,2012-10-28,0,7,0.59,10,48,4,0.5,2,0,0.2985,0,1
2524,0.4242,2,7,2011-04-20,0,1,0.94,4,5,2,0.42,1,3,0.1642,1,0
2850,0.6515,37,154,2011-05-03,0,15,0.58,5,117,2,0.7,2,2,0.4478,1,0
6545,0.4394,5,117,2011-10-05,0,6,0.82,10,112,4,0.44,1,3,0.1045,1,0
11331,0.4242,2,24,2012-04-22,0,7,0.77,4,22,2,0.42,3,0,0.3881,0,1
8280,0.303,12,153,2011-12-16,0,15,0.45,12,141,4,0.32,2,5,0.2985,1,0
363,0.2727,22,91,2011-01-16,0,14,0.36,1,69,1,0.28,1,0,0.2537,0,0
4010,0.5909,10,60,2011-06-20,0,23,0.78,6,50,2,0.62,1,1,0.2537,1,0
1425,0.3333,31,106,2011-03-04,0,15,0.4,3,75,1,0.36,1,5,0.2985,1,0
251,0.2273,0,51,2011-01-11,0,19,0.93,1,51,1,0.16,3,2,0,1,0
7992,0.4242,69,296,2011-12-04,0,15,0.62,12,227,4,0.42,1,0,0.194,0,0
744,0.1364,6,133,2011-02-03,0,9,0.47,2,127,1,0.16,1,4,0.2985,1,0
8001,0.3333,3,24,2011-12-05,0,0,0.87,12,21,4,0.32,1,1,0.0896,1,0
16714,0.4091,0,7,2012-12-04,0,4,0.87,12,7,4,0.4,2,2,0.1343,1,1
16222,0.4091,33,217,2012-11-13,0,15,0.4,11,184,4,0.4,1,2,0.2985,1,1
5072,0.6364,3,20,2011-08-04,0,5,0.89,8,17,3,0.68,2,4,0,1,0
13477,0.5909,95,715,2012-07-20,0,17,0.89,7,620,3,0.66,2,5,0.4179,1,1
3315,0.5303,23,41,2011-05-23,0,0,0.88,5,18,2,0.56,2,1,0.1343,1,0
16415,0.4394,59,469,2012-11-21,0,16,0.33,11,410,4,0.44,1,3,0.1343,1,1
14729,0.5303,29,285,2012-09-10,0,21,0.49,9,256,3,0.56,1,1,0.1642,1,1
12917,0.6212,29,282,2012-06-27,0,9,0.41,6,253,3,0.66,1,3,0.3582,1,1
3208,0.5303,30,122,2011-05-18,0,13,0.83,5,92,2,0.56,2,3,0.3284,1,0
13861,0.7576,122,382,2012-08-05,0,17,0.46,8,260,3,0.82,1,0,0.2537,0,1
8855,0.2273,6,164,2012-01-09,0,18,0.86,1,158,1,0.2,4,1,0.0896,1,1
16168,0.3788,94,273,2012-11-11,0,9,0.77,11,179,4,0.36,1,0,0,0,1
1052,0.4242,13,93,2011-02-16,0,13,0.3,2,80,1,0.42,1,3,0.3582,1,0
16231,0.2424,4,24,2012-11-14,0,0,0.56,11,20,4,0.26,1,3,0.2836,1,1
2492,0.5455,66,428,2011-04-18,0,17,0.49,4,362,2,0.58,1,1,0.2836,1,0
11034,0.4697,14,165,2012-04-09,0,21,0.41,4,151,2,0.48,3,1,0.4179,1,1
13014,0.7879,98,366,2012-07-01,0,10,0.44,7,268,3,0.86,1,0,0.2985,0,1
12071,0.5758,0,5,2012-05-23,0,3,0.78,5,5,2,0.6,1,3,0.1045,1,1
778,0.2424,2,71,2011-02-04,0,20,0.65,2,69,1,0.24,2,5,0.1642,1,0
16519,0.2727,4,23,2012-11-26,0,0,0.69,11,19,4,0.22,1,1,0,1,1
13127,0.697,1,7,2012-07-06,0,3,0.7,7,6,3,0.74,2,5,0.194,1,1
11266,0.5455,54,237,2012-04-19,0,14,0.43,4,183,2,0.58,1,4,0,1,1
2074,0.2273,2,28,2011-04-01,0,6,0.93,4,26,2,0.24,3,5,0.2239,1,0
16106,0.3939,14,373,2012-11-08,0,19,0.27,11,359,4,0.38,1,4,0.3582,1,1
8918,0.3485,6,90,2012-01-12,0,10,0.81,1,84,1,0.34,1,4,0.1045,1,1
14352,0.5758,5,16,2012-08-26,0,4,0.89,8,11,3,0.64,2,0,0.194,0,1
4996,0.697,5,17,2011-08-01,0,1,0.74,8,12,3,0.72,1,1,0.194,1,0
6402,0.5455,14,283,2011-09-29,0,7,0.88,9,269,4,0.6,1,4,0.1343,1,0
7837,0.4394,0,4,2011-11-28,0,4,0.82,11,4,4,0.44,1,1,0.0896,1,0
2901,0.5303,64,520,2011-05-05,0,18,0.26,5,456,2,0.56,1,4,0.2836,1,0
5585,0.697,27,113,2011-08-25,0,14,0.74,8,86,3,0.72,2,4,0,1,0
12996,0.7879,109,373,2012-06-30,0,16,0.29,6,264,3,0.9,1,6,0.1642,0,1
10837,0.4848,295,573,2012-04-01,0,15,0.55,4,278,2,0.5,1,0,0.2537,0,1
819,0.3636,47,182,2011-02-06,0,13,0.46,2,135,1,0.34,1,0,0,0,0
6120,0.5,124,349,2011-09-17,0,13,0.68,9,225,3,0.52,2,6,0.194,0,0
10405,0.6364,86,283,2012-03-14,0,15,0.24,3,197,1,0.7,1,3,0,1,1
12889,0.5,3,39,2012-06-26,0,5,0.48,6,36,3,0.52,1,2,0.3881,1,1
310,0.1515,0,117,2011-01-14,0,9,0.69,1,117,1,0.14,1,5,0.1343,1,0
4221,0.697,78,588,2011-06-29,0,18,0.29,6,510,3,0.8,1,3,0.2985,1,0
14779,0.5303,16,127,2012-09-12,0,23,0.68,9,111,3,0.56,1,3,0.1045,1,1
9058,0.2879,1,263,2012-01-18,0,7,0.42,1,262,1,0.32,1,3,0.3582,1,1
13274,0.6061,7,178,2012-07-12,0,6,0.73,7,171,3,0.64,1,4,0.0896,1,1
10928,0.4242,109,268,2012-04-05,0,11,0.38,4,159,2,0.42,2,4,0.2239,1,1
10986,0.4848,75,234,2012-04-07,0,21,0.2,4,159,2,0.5,1,6,0.194,0,1
7066,0.4545,3,26,2011-10-27,0,0,0.94,10,23,4,0.46,1,4,0,1,0
3543,0.8333,32,169,2011-06-01,0,12,0.53,6,137,2,0.86,1,3,0,1,0
12935,0.6212,1,7,2012-06-28,0,3,0.5,6,6,3,0.66,1,4,0.0896,1,1
7776,0.5,122,272,2011-11-25,0,14,0.39,11,150,4,0.52,1,5,0.2239,1,0
5799,0.6061,37,75,2011-09-04,0,1,0.83,9,38,3,0.66,1,0,0.1343,0,0
849,0.3485,5,128,2011-02-07,0,19,0.7,2,123,1,0.32,2,1,0,1,0
14925,0.5152,0,12,2012-09-19,0,1,0.68,9,12,3,0.54,2,3,0.2537,1,1
15441,0.5303,60,297,2012-10-10,0,13,0.49,10,237,4,0.56,1,3,0,1,1
13106,0.6667,3,133,2012-07-05,0,6,0.58,7,130,3,0.72,1,4,0,1,1
4635,0.6212,34,125,2011-07-17,0,0,0.65,7,91,3,0.66,1,0,0.2239,0,0
15240,0.5303,2,10,2012-10-02,0,4,0.83,10,8,4,0.56,2,2,0.0896,1,1
2354,0.4091,8,39,2011-04-12,0,23,0.94,4,31,2,0.4,2,2,0.2537,1,0
2597,0.3333,3,17,2011-04-23,0,2,1,4,14,2,0.32,3,6,0.1343,0,0
4630,0.6818,164,406,2011-07-16,0,19,0.48,7,242,3,0.74,1,6,0.194,0,0
10917,0.5,12,45,2012-04-05,0,0,0.23,4,33,2,0.52,1,4,0.4179,1,1
4727,0.8333,45,309,2011-07-20,0,20,0.75,7,264,3,0.8,1,3,0.2239,1,0
16192,0.4394,60,397,2012-11-12,1,9,0.88,11,337,4,0.44,1,1,0.1045,0,1
247,0.197,2,47,2011-01-11,0,15,0.8,1,45,1,0.16,2,2,0.0896,1,0
796,0.2727,5,55,2011-02-05,0,14,1,2,50,1,0.22,3,6,0,0,0
13750,0.5758,0,13,2012-08-01,0,2,0.83,8,13,3,0.64,1,3,0.1045,1,1
12500,0.6212,33,158,2012-06-10,0,0,0.69,6,125,2,0.66,1,0,0.1045,0,1
9901,0.4242,15,190,2012-02-22,0,13,0.54,2,175,1,0.42,1,3,0.2985,1,1
11538,0.5,11,134,2012-04-30,0,22,0.55,4,123,2,0.52,2,1,0.1642,1,1
15405,0.3485,0,13,2012-10-09,0,1,0.87,10,13,4,0.36,3,2,0.2239,1,1
10457,0.4545,23,296,2012-03-16,0,19,0.88,3,273,1,0.46,2,5,0,1,1
13316,0.6667,35,191,2012-07-14,0,0,0.48,7,156,3,0.72,2,6,0.0896,0,1
1351,0.3485,13,78,2011-03-01,0,13,0.39,3,65,1,0.32,1,2,0,1,0
14907,0.5758,13,356,2012-09-18,0,7,0.89,9,343,3,0.64,2,2,0.4478,1,1
13595,0.6818,94,317,2012-07-25,0,15,0.31,7,223,3,0.78,1,3,0.0896,1,1
13936,0.697,76,500,2012-08-08,0,20,0.66,8,424,3,0.74,1,3,0.194,1,1
919,0.1667,2,112,2011-02-10,0,19,0.28,2,110,1,0.14,1,4,0.1045,1,0
9862,0.303,8,98,2012-02-20,1,21,0.39,2,90,1,0.3,1,1,0.1642,0,1
14493,0.697,11,79,2012-09-01,0,1,0.74,9,68,3,0.72,1,6,0.1343,0,1
13813,0.803,95,741,2012-08-03,0,17,0.53,8,646,3,0.84,2,5,0.2836,1,1
12724,0.5758,40,673,2012-06-19,0,8,0.78,6,633,2,0.6,2,2,0.1642,1,1
16981,0.2576,1,48,2012-12-15,0,7,0.75,12,47,4,0.24,2,6,0.0896,0,1
10864,0.4848,66,494,2012-04-02,0,19,0.27,4,428,2,0.5,1,1,0.2537,1,1
16200,0.5303,66,596,2012-11-12,1,17,0.64,11,530,4,0.56,1,1,0.2836,0,1
13237,0.7121,103,872,2012-07-10,0,17,0.49,7,769,3,0.78,1,2,0.194,1,1
8413,0.3939,0,3,2011-12-22,0,4,0.82,12,3,1,0.38,1,4,0.1343,1,0
15129,0.6667,61,326,2012-09-27,0,13,0.48,9,265,4,0.74,2,4,0,1,1
10145,0.4848,53,303,2012-03-03,0,18,0.25,3,250,1,0.5,1,6,0.2537,0,1
5546,0.6061,19,80,2011-08-23,0,23,0.61,8,61,3,0.62,1,2,0.1343,1,0
15850,0.6212,325,750,2012-10-27,0,14,0.46,10,425,4,0.6,1,6,0.2537,0,1
12633,0.6364,121,393,2012-06-15,0,13,0.42,6,272,2,0.7,1,5,0.2537,1,1
10318,0.2576,6,83,2012-03-10,0,23,0.41,3,77,1,0.26,1,6,0.194,0,1
8171,0.2576,0,4,2011-12-12,0,2,0.69,12,4,4,0.2,1,1,0,1,0
2932,0.4242,8,58,2011-05-07,0,1,0.82,5,50,2,0.42,1,6,0.1045,0,0
214,0.1212,1,3,2011-01-10,0,4,0.54,1,2,1,0.1,1,1,0.1343,1,0
8706,0.1212,5,73,2012-01-03,0,13,0.34,1,68,1,0.18,1,2,0.6567,1,1
429,0.2879,4,59,2011-01-19,0,21,0.49,1,55,1,0.32,1,3,0.4179,1,0
7650,0.4242,13,65,2011-11-20,0,8,0.71,11,52,4,0.42,2,0,0.2836,0,0
13808,0.8182,95,338,2012-08-03,0,12,0.5,8,243,3,0.86,2,5,0.2985,1,1
11036,0.4394,6,67,2012-04-09,0,23,0.44,4,61,2,0.44,1,1,0.2985,1,1
12507,0.5758,21,62,2012-06-10,0,7,0.78,6,41,2,0.6,1,0,0.1045,0,1
12589,0.6515,75,857,2012-06-13,0,17,0.32,6,782,2,0.72,1,3,0.4925,1,1
11956,0.5,49,745,2012-05-18,0,8,0.59,5,696,2,0.52,1,5,0.1343,1,1
2308,0.4697,7,23,2011-04-11,0,0,0.88,4,16,2,0.48,1,1,0.3284,1,0
16110,0.303,5,87,2012-11-08,0,23,0.46,11,82,4,0.34,1,4,0.3582,1,1
10690,0.4697,63,279,2012-03-26,0,12,0.33,3,216,2,0.48,1,1,0.5224,1,1
1505,0.2424,0,4,2011-03-08,0,1,0.52,3,4,1,0.24,1,2,0.1343,1,0
12078,0.5909,52,191,2012-05-23,0,10,0.78,5,139,2,0.62,1,3,0.0896,1,1
117,0.2273,0,4,2011-01-06,0,1,0.64,1,4,1,0.16,1,4,0,1,0
8659,0.4242,82,223,2012-01-01,0,13,0.58,1,141,1,0.42,1,0,0.2836,0,1
12369,0.6212,85,274,2012-06-04,0,13,0.41,6,189,2,0.64,1,1,0.3582,1,1
6728,0.5152,9,83,2011-10-12,0,21,1,10,74,4,0.54,3,3,0.1045,1,0
10792,0.4242,68,560,2012-03-30,0,18,0.54,3,492,2,0.42,1,5,0.194,1,1
13147,0.7879,27,164,2012-07-06,0,23,0.63,7,137,3,0.8,1,5,0.1045,1,1
9647,0.0758,5,48,2012-02-11,0,21,0.43,2,43,1,0.14,1,6,0.6418,0,1
3314,0.5455,19,65,2011-05-22,0,23,0.83,5,46,2,0.58,2,0,0.1343,0,0
13570,0.803,48,244,2012-07-24,0,14,0.53,7,196,3,0.84,2,2,0.2239,1,1
16606,0.3485,24,370,2012-11-29,0,16,0.4,11,346,4,0.36,1,4,0.2239,1,1
13831,0.803,155,470,2012-08-04,0,11,0.47,8,315,3,0.86,1,6,0.2537,0,1
6359,0.5909,33,162,2011-09-27,0,12,0.89,9,129,4,0.66,2,2,0.1343,1,0
